Director,Actor1,Actor2,Actor3,Rating,DirectorLikes,Actor1Likes,Actor2Likes,Actor3Likes
Griffin Dunne,Goran Visnjic,Dianne Wiest,Stockard Channing,6.1,165,1000,967,944
Phil Lord,Morgan Freeman,Will Ferrell,Alison Brie,7.8,97,11000,8000,2000
John Pasquin,Eileen Brennan,Diedrich Bader,Treat Williams,5.0,11,1000,759,642
Rob Bowman,Christian Bale,Gerard Butler,Matthew McConaughey,6.2,38,23000,18000,11000
Ruben Fleischer,Ryan Gosling,Brandon Molale,Wade Williams,6.7,181,33000,301,300
Harold Ramis,Olivia Wilde,Oliver Platt,Xander Berkeley,4.9,11000,10000,1000,485
Clint Eastwood,Matt Damon,Morgan Freeman,Leleti Khumalo,7.4,16000,13000,11000,204
Kevin Macdonald,Robin Wright,Harry Lennix,Michael Weston,7.1,162,18000,748,379
Tony Gilroy,Julia Roberts,Tom Wilkinson,Denis O'Hare,6.2,209,8000,1000,896
Donald Petrie,Steven Anthony Lawrence,Ray Walston,Michael Lerner,4.9,80,1000,417,230
Clark Johnson,Blair Brown,David Rasche,Martin Donovan,6.1,69,310,219,206
Jorge Blanco,Dwayne Johnson,Gary Oldman,James Corden,6.1,2,12000,10000,480
Stuart Baird,Tom Hardy,LeVar Burton,Jonathan Frakes,6.4,53,27000,1000,906
Robert Lorenz,Clint Eastwood,Ed Lauter,Bob Gunton,6.8,39,16000,897,461
Martin Campbell,Bojana Novakovic,Ray Winstone,Denis O'Hare,6.6,258,2000,1000,896
Harold Ramis,Robert De Niro,Cathy Moriarty,Joe Viterelli,5.9,11000,22000,394,236
Jon Avnet,Robert De Niro,Al Pacino,50 Cent,6.0,50,22000,14000,1000
Harold Becker,Bruce Willis,Miko Hughes,Carrie Preston,6.1,17,13000,968,652
Joe Wright,Robert Downey Jr.,Stephen Root,Rachael Harris,6.7,456,21000,939,569
Cameron Crowe,Philip Seymour Hoffman,Zooey Deschanel,Michael Angarano,7.9,488,22000,11000,947
Tim Hill,Bill Murray,Roger Rees,Ben Falcone,5.0,25,13000,1000,265
Lee Tamahori,Sunny Mabrey,Nona Gaye,Xzibit,4.3,93,287,233,218
Scott Stewart,Josh Wingate,Alan Dale,Jacob Hopkins,5.7,124,865,441,77
Paul W.S. Anderson,Sean Pertwee,Joely Richardson,Kathleen Quinlan,6.7,545,722,585,552
Tom Shadyac,Joe Morton,Susanna Thompson,Matt Craven,6.1,293,780,265,256
Tony Bill,James Franco,Tyler Labine,Philip Winchester,6.6,23,11000,779,579
Rod Lurie,Clifton Collins Jr.,Delroy Lindo,Michael Irby,6.9,37,968,848,507
Walter Hill,Robert Forster,Wilson Cruz,Vanessa Marshall,4.8,394,889,290,68
Akiva Goldsman,Matt Bomer,William Hurt,Kevin Corrigan,6.2,167,20000,882,778
Harald Zwart,Aidan Turner,Kevin Zegers,CCH Pounder,6.0,91,5000,2000,1000
Brian Robbins,Marc Blucas,Mike O'Malley,Shawn Christian,4.9,48,973,400,196
Walter Salles,Dougray Scott,Camryn Manheim,Ariel Gade,5.6,179,794,329,87
Ron Howard,Matthew McConaughey,Adam Goldberg,Clint Howard,6.1,2000,11000,1000,1000
Iain Softley,Brendan Fraser,Stephen Graham,Jamie Foreman,6.1,34,3000,1000,466
Frank Miller,Scarlett Johansson,Jaime King,Louis Lombardi,4.8,436,19000,961,437
David Koepp,Johnny Depp,Olivia Munn,Ulrich Thomsen,5.5,192,40000,2000,280
Uwe Boll,Jason Statham,Mike Dopud,Tania Saulnier,3.8,892,26000,368,102
Martin Campbell,Angelina Jolie Pitt,Teri Polo,Noah Emmerich,6.5,258,11000,708,617
Pou-Soi Cheang,Li Gong,Aaron Kwok,Eddie Peng,6.0,3,879,107,22
John Dahl,James Franco,Clayne Crawford,Paolo Montalban,6.7,131,11000,298,242
Tim Miller,Ryan Reynolds,Ed Skrein,Stefan Kapicic,8.1,84,16000,805,361
Stephen Herek,Kelly Preston,Morgan Fairchild,Eric McCormack,4.9,65,743,730,440
Clint Eastwood,Bradley Cooper,Leonard Roberts,Keir O'Donnell,7.3,16000,14000,962,318
Rob Letterman,Odeya Rush,Dylan Minnette,Ken Marino,6.4,11,2000,1000,543
Mark Waters,Jon Heder,Ivana Milicevic,Willie Garson,6.7,70,970,834,512
Brian Levant,Taylor Negron,Mark Addy,Danny Woodburn,3.6,32,1000,891,809
Peter MacDonald,Sylvester Stallone,Kurtwood Smith,Richard Crenna,5.7,10,13000,1000,349
Frank Coraci,Taylor Lautner,Adam Sandler,Jon Lovitz,4.9,153,12000,11000,11000
Marc Lawrence,Michael Kelly,Kim Shaw,Kevin Brown,4.7,30,963,935,727
Shawn Levy,Josh Gad,Jessica Szohr,Rob Riggle,6.3,189,1000,847,839
Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Shawn Roberts,5.9,545,14000,1000,529
Anthony Hemingway,David Oyelowo,Nate Parker,Tristan Mack Wilds,5.9,143,1000,664,519
Taylor Hackford,Keanu Reeves,Al Pacino,Charlize Theron,7.5,138,18000,14000,9000
Sean Anders,Adam Sandler,Leighton Meester,Will Forte,5.6,51,11000,3000,622
Rob Cohen,Dennis Quaid,Brian Thompson,Terry O'Neill,6.4,357,2000,663,40
Brett Ratner,Salma Hayek,Don Cheadle,Chris Penn,6.3,420,4000,3000,455
Mark Neveldine,Nicolas Cage,Spencer Wilding,Christopher Lambert,4.3,83,12000,1000,1000
John Madden,Christian Bale,Irene Papas,Mihalis Giannatos,5.9,108,23000,243,58
Adam Shankman,Vin Diesel,Brad Garrett,Tate Donovan,5.5,163,14000,799,650
Kevin Bray,Dwayne Johnson,Ashley Scott,Michael Bowen,6.2,10,12000,795,348
Tim Hill,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler,5.2,25,1000,718,639
Jay Roach,Robert De Niro,Blythe Danner,Teri Polo,7.0,116,22000,713,708
Mike Gabriel,Christian Bale,Frank Welker,Irene Bedard,6.6,12,23000,2000,752
Richard Donner,Marlon Brando,Margot Kidder,Ned Beatty,7.3,503,10000,593,467
Tom Shadyac,Jada Pinkett Smith,James Coburn,Dave Chappelle,5.6,293,851,773,744
Andy Tennant,Will Smith,Michael Rapaport,Kevin Sussman,6.6,72,10000,975,681
Sam Weisman,Brendan Fraser,Abraham Benrubi,Holland Taylor,5.4,39,3000,562,458
Jesse Dylan,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard,6.3,58,3000,864,729
Paul Greengrass,Tom Hanks,Chris Mulkey,Michael Chernus,7.9,521,15000,535,186
Shawn Levy,Mila Kunis,James Franco,Steve Carell,6.3,189,15000,11000,7000
Brad Silberling,Eric Idle,Fred Rogers,Cathy Moriarty,6.0,52,795,419,394
Antoine Fuqua,Denzel Washington,Chloë Grace Moretz,James Wilcox,7.2,845,18000,17000,683
Wayne Wang,Bob Hoskins,Frances Conroy,Natasha Richardson,5.1,61,5000,827,708
Tony Scott,Denzel Washington,Viggo Mortensen,Ricky Schroder,7.3,12000,18000,10000,665
Gabriele Muccino,Will Smith,Kurt Fuller,James Karen,8.0,125,10000,617,168
Robert Schwentke,Erika Christensen,Michael Irby,Haley Ramm,6.2,124,931,507,354
Barry Levinson,Demi Moore,Dylan Baker,Roma Maffia,6.0,272,2000,812,383
Brad Silberling,Nicolas Cage,Andre Braugher,Colm Feore,6.7,52,12000,702,539
Quentin Tarantino,David Carradine,Vivica A. Fox,Chiaki Kuriyama,8.1,16000,926,890,640
Quentin Tarantino,Vivica A. Fox,Michael Parks,Michael Bowen,8.0,16000,890,387,348
Andrey Konchalovskiy,Sylvester Stallone,Jack Palance,Brion James,6.3,96,13000,549,403
Tom Dey,Xander Berkeley,Jason Connery,Kate Luyben,6.6,9,485,110,95
Stuart Baird,Oliver Platt,Joe Morton,J.T. Walsh,6.4,53,1000,780,263
Mark Waters,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall,6.0,70,1000,549,497
Rob Minkoff,Jet Li,Thomas McDonell,Michael Angarano,6.6,50,5000,962,947
Jimmy Hayward,Amy Poehler,Carlos Ponce,Dan Fogler,5.9,39,1000,591,562
David Fincher,Charles S. Dutton,Holt McCallany,Paul McGann,6.4,21000,534,273,243
Alan Parker,Andrea Corr,Jimmy Nail,Peter Polycarpou,6.3,317,57,40,34
John Frankenheimer,Robert De Niro,Natascha McElhone,Michael Lonsdale,7.3,287,22000,2000,135
Stephen Hopkins,Tom Wilkinson,Bernard Hill,Om Puri,6.8,81,1000,416,163
Paul King,Julie Walters,Matt Lucas,Sally Hawkins,7.2,17,838,722,594
Akiva Schaffer,Will Forte,Nicholas Braun,Rosemarie DeWitt,5.7,82,622,591,537
William Friedkin,Connie Nielsen,Jenna Boyd,Rex Linn,6.0,607,933,518,215
Jon Turteltaub,Anthony Hopkins,Maura Tierney,John Ashton,6.5,226,12000,509,241
Bobby Farrelly,Matt Damon,Terence Bernie Hines,Seymour Cassel,5.8,101,13000,390,327
Kent Alterman,Will Ferrell,Maura Tierney,Matt Walsh,5.8,3,8000,509,490
Peter Lord,Salma Hayek,Russell Tovey,Brian Blessed,6.7,91,4000,796,591
Clint Eastwood,Angelina Jolie Pitt,Michael Kelly,Colm Feore,7.8,16000,11000,963,539
Andrew Davis,Keanu Reeves,Morgan Freeman,Kevin Dunn,5.6,99,18000,11000,581
Tony Scott,Robert De Niro,Kurt Fuller,Ellen Barkin,5.8,12000,22000,617,552
Joel Schumacher,Gerard Butler,Minnie Driver,Miranda Richardson,7.4,541,18000,893,530
Shekhar Kapur,Eddie Redmayne,Abbie Cornish,Jordi Mollà,6.9,159,13000,2000,877
Karyn Kusama,Charlize Theron,Sophie Okonedo,Paterson Joseph,5.5,45,9000,460,352
Ron Maxwell,Billy Campbell,Bruce Boxleitner,John Castle,6.3,33,789,640,67
Karey Kirkpatrick,Stephen Root,Ronny Cox,Richard Schiff,5.6,11,939,605,506
James Bobin,Ty Burrell,Tina Fey,Hugh Bonneville,6.4,33,3000,2000,518
Jonathan Frakes,Sophia Myles,Philip Winchester,Brady Corbet,4.2,906,956,579,287
Steve Antin,Eric Dane,Peter Gallagher,David Walton,6.4,59,2000,828,676
Jim Gillespie,Sylvester Stallone,Tom Berenger,Charles S. Dutton,5.3,13,13000,854,534
Gabriele Muccino,Will Smith,Rosario Dawson,Madison Pettis,7.7,125,10000,3000,835
Walter Hill,Sylvester Stallone,Jason Momoa,Jon Seda,5.7,394,13000,11000,565
Cameron Crowe,Orlando Bloom,Kirsten Dunst,Judy Greer,6.4,488,5000,4000,2000
Anthony Russo,Todd Stashwick,Billy Gardell,Amanda Detmer,5.6,94,277,245,240
Richard Lester,Margot Kidder,Ned Beatty,Jackie Cooper,6.8,44,593,467,420
Martin Brest,Todd Giebenhain,Lenny Venito,David Backus,2.4,102,117,62,43
Steven Zaillian,Kate Winslet,Anthony Hopkins,Kevin Dunn,6.2,234,14000,12000,581
John Singleton,Christian Bale,Vanessa Williams,Daniel von Bargen,5.9,309,23000,1000,577
Don Bluth,Kirsten Dunst,Kelsey Grammer,Bernadette Peters,7.1,383,4000,808,753
Baz Luhrmann,Jim Broadbent,Kylie Minogue,Richard Roxburgh,7.6,1000,1000,691,653
Harold Becker,Steve Buscemi,Teri Polo,Matt O'Leary,5.5,17,12000,708,303
Scott Cooper,Johnny Depp,Benedict Cumberbatch,Adam Scott,7.0,108,40000,19000,3000
Clint Eastwood,Paul Walker,Chris Bauer,Tom McCarthy,7.1,16000,23000,638,310
F. Gary Gray,Gerard Butler,Leslie Bibb,Michael Kelly,7.4,473,18000,1000,963
Jonathan Demme,Oprah Winfrey,Kimberly Elise,Hill Harper,5.9,438,852,637,466
Curtis Hanson,Robert Downey Jr.,Robert Duvall,Kelvin Han Yee,5.9,161,21000,3000,681
Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Jennifer Garner,8.0,14000,29000,15000,3000
Peyton Reed,Jon Favreau,John Michael Higgins,Ann-Margret,5.8,235,4000,957,931
Phyllida Lloyd,Colin Firth,Meryl Streep,Julie Walters,6.3,58,14000,11000,838
Jay Chandrasekhar,Alice Greczyn,Jessica Simpson,Michael Weston,5.1,422,631,534,379
David Dobkin,Ryan Reynolds,Olivia Wilde,Mircea Monroe,6.4,71,16000,10000,634
Milos Forman,Matt Price,Gerry Becker,Tom Dreesen,7.4,869,134,27,21
Martin Scorsese,Robert De Niro,Don Rickles,Kevin Pollak,8.2,17000,22000,721,574
Pierre Morel,Kasia Smutniak,Amber Rose Revah,Rebecca Dayan,6.5,180,211,135,75
Paul Hunter,Jaime King,Mako,Victoria Smurfit,5.5,13,961,691,343
Bobby Farrelly,Robert Forster,Tony Cox,Rob Moran,6.5,101,889,624,79
Steve Oedekerk,Rob Paulsen,Wanda Sykes,Maurice LaMarche,5.6,176,677,560,523
John Whitesell,Matthew Broderick,Jorge Garcia,Alia Shawkat,4.9,14,2000,1000,728
Chris Weitz,Robert Pattinson,Kristen Stewart,Taylor Lautner,4.6,129,21000,17000,12000
Andrew Adamson,Kathleen Freeman,Chris Miller,Bobby Block,7.9,80,145,50,21
George Nolfi,Matt Damon,Michael Kelly,Jon Stewart,7.1,53,13000,963,593
Kevin Reynolds,Alan Rickman,Morgan Freeman,Michael Wincott,6.9,58,25000,11000,720
Cameron Crowe,Tom Cruise,Kelly Preston,Bonnie Hunt,7.3,488,10000,743,597
Seth MacFarlane,Mila Kunis,Seth MacFarlane,Tom Skerritt,7.0,3000,15000,3000,1000
James L. Brooks,Lupe Ontiveros,Yeardley Smith,Shirley Knight,7.7,274,625,440,285
Tom Shadyac,Robin Williams,Philip Seymour Hoffman,Monica Potter,6.7,293,49000,22000,878
Adam McKay,Harrison Ford,Will Ferrell,Steve Carell,6.3,285,11000,8000,7000
Steven Brill,Steve Buscemi,Adam Sandler,Peter Gallagher,5.8,65,12000,11000,828
J.J. Abrams,Joel Courtney,AJ Michalka,Zach Mills,7.1,14000,1000,560,417
Donald Petrie,Matthew McConaughey,Adam Goldberg,Thomas Lennon,6.4,80,11000,1000,651
Phil Lord,Channing Tatum,Craig Roberts,Amber Stevens West,7.1,97,17000,920,584
Neil Jordan,Brad Pitt,Tom Cruise,Kirsten Dunst,7.6,277,11000,10000,4000
Peyton Reed,Bradley Cooper,Zooey Deschanel,Danny Masterson,6.8,235,14000,11000,1000
Rawson Marshall Thurber,Dwayne Johnson,Thomas Kretschmann,Megan Park,6.6,43,12000,919,569
Sean Anders,Will Ferrell,Linda Cardellini,Mark L. Young,6.1,51,8000,2000,322
Rob Marshall,Johnny Depp,Meryl Streep,Anna Kendrick,6.0,252,40000,11000,10000
Brian Helgeland,Bill Duke,Deborah Kara Unger,William Devane,7.1,241,1000,495,416
Frank Marshall,Dylan Walsh,Joe Don Baker,Grant Heslov,5.0,155,426,387,293
Cameron Crowe,Scarlett Johansson,Matt Damon,Stephanie Szostak,7.1,488,19000,13000,1000
Alex Proyas,Nicolas Cage,Ben Mendelsohn,Chandler Canterbury,6.2,295,12000,748,329
Tom Dey,Bradley Cooper,Matthew McConaughey,Zooey Deschanel,5.6,9,14000,11000,11000
Hideo Nakata,Naomi Watts,Gary Cole,Sissy Spacek,5.4,62,6000,989,874
Glenn Ficarra,Ryan Gosling,Emma Stone,Steve Carell,7.4,43,33000,15000,7000
Peter Hewitt,Bill Murray,Mark Christopher Lawrence,Michael Monks,5.0,12,13000,258,58
Joe Roth,Jamie Lee Curtis,Cheech Marin,Jake Busey,5.2,148,2000,843,660
Bennett Miller,Philip Seymour Hoffman,Robin Wright,Brad Pitt,7.6,152,22000,18000,11000
Wolfgang Petersen,Kevin Spacey,Morgan Freeman,Rene Russo,6.6,249,18000,11000,808
Jaume Collet-Serra,Liam Neeson,Nate Parker,Scoot McNairy,7.0,174,14000,664,660
Andy Fickman,Dwayne Johnson,Billy Brown,Tom Everett Scott,5.7,99,12000,536,433
James McTeigue,Natalie Portman,Eddie Marsan,Rupert Graves,8.2,160,20000,979,443
David Dobkin,Fann Wong,Anna-Louise Plowman,Georgina Chapman,6.2,71,154,131,55
Matthew O'Callaghan,Will Ferrell,Frank Welker,Alexander Gould,6.6,5,8000,2000,1000
Angela Robinson,Scoot McNairy,Thomas Lennon,Cheryl Hines,4.7,23,660,651,541
Gary Fleder,Oliver Platt,Jennifer Esposito,Conrad Goode,6.3,39,1000,912,477
Tommy Wirkola,Jeremy Renner,Derek Mears,Ingrid Bolsø Berdal,6.1,75,10000,520,467
Adrian Lyne,Olivier Martinez,Erik Per Sullivan,Chad Lowe,6.7,213,838,593,372
D.J. Caruso,Alex Pettyfer,Emily Wickersham,Reuben Langdon,6.1,154,15000,348,144
Stephen Gaghan,Matt Damon,Amr Waked,Kayvan Novak,7.0,79,13000,903,414
Jorge R. Gutiérrez,Channing Tatum,Hector Elizondo,Ana de la Reguera,7.3,34,17000,995,679
Richard Loncraine,Jimmy Bennett,Harrison Ford,Mary Lynn Rajskub,5.8,12,87000,11000,935
Clint Eastwood,Clint Eastwood,Mark Margolis,Scott Glenn,6.7,16000,16000,1000,826
David Fincher,Deborah Kara Unger,Armin Mueller-Stahl,Charles Martinet,7.8,21000,495,294,283
Christophe Gans,Radha Mitchell,Deborah Kara Unger,Alice Krige,6.6,50,992,495,368
Howard Deutch,Keanu Reeves,Jon Favreau,Faizon Love,6.5,41,18000,4000,585
Jon Hurwitz,Alyson Hannigan,Dania Ramirez,Natasha Lyonne,6.7,22,3000,1000,1000
F. Gary Gray,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan,7.3,473,18000,822,294
Steven Quale,Matt Walsh,Alycia Debnam-Carey,Scott Lawrence,5.8,77,490,298,159
John Landis,Louis Lombardi,Jon Tenney,Gilbert R. Hill,5.5,644,437,289,174
Joe Dante,Christopher Lee,Robert Picardo,Phoebe Cates,6.3,287,16000,823,767
David Dobkin,Robert Downey Jr.,Robert Duvall,Leighton Meester,7.4,71,21000,3000,3000
Mimi Leder,Armin Mueller-Stahl,Holt McCallany,Marcel Iures,5.9,75,294,273,258
Alexander Witt,Milla Jovovich,Thomas Kretschmann,Mike Epps,6.2,38,14000,919,706
Beeban Kidron,Colin Firth,Jim Broadbent,Celia Imrie,5.9,17,14000,1000,186
Carl Franklin,Denzel Washington,Sanaa Lathan,John Billingsley,6.5,73,18000,886,323
James McTeigue,Shô Kosugi,Ben Miles,Rain,6.4,160,330,119,72
Andrew Bergman,Demi Moore,Rumer Willis,Paul Guilfoyle,4.3,31,2000,472,210
Tom Dey,Emma Stone,Judy Greer,Steve Coogan,4.2,9,15000,2000,1000
Clint Eastwood,Matt Damon,Jay Mohr,Cécile De France,6.5,16000,13000,563,447
Barbet Schroeder,Ryan Gosling,Chris Penn,Agnes Bruckner,6.1,58,33000,455,401
Richard Donner,Muse Watson,Sylvester Stallone,Kelly Rowan,6.3,503,45000,13000,282
Peter Webber,Li Gong,Stephen Walters,Richard Brake,6.2,73,879,184,163
Andrew Niccol,J.D. Evermore,Chandler Canterbury,Rachel Roberts,5.9,487,430,329,201
John McTiernan,Connie Nielsen,Harry Connick Jr.,Tim Daly,6.5,323,933,631,511
Clint Eastwood,Clint Eastwood,Anjelica Huston,Rick Hoffman,6.4,16000,16000,1000,581
Tom Tykwer,Naomi Watts,Brían F. O'Byrne,Armin Mueller-Stahl,6.5,670,6000,450,294
Brad Bird,Vin Diesel,Harry Connick Jr.,M. Emmet Walsh,8.0,663,14000,631,521
Gary Ross,Matthew McConaughey,Donald Watkins,Jessica Collins,6.7,378,11000,552,303
Alan Parker,Kevin Spacey,Kate Winslet,Matt Craven,7.5,317,18000,14000,256
Stephen Herek,Christina Milian,Vanessa Ferlito,Kelli Garner,5.4,65,1000,923,730
Jaume Collet-Serra,Liam Neeson,Common,Bruce McGill,6.6,174,14000,988,655
John Stockwell,Paul Walker,James Frain,Ashley Scott,5.8,134,23000,1000,795
David Gordon Green,Natalie Portman,Zooey Deschanel,James Franco,5.6,234,20000,11000,11000
Jim Sheridan,Naomi Watts,Gregory Smith,Sarah Gadon,6.0,260,6000,694,692
Costa-Gavras,Mia Kirshner,Blythe Danner,William Atherton,6.2,333,972,713,317
Patrick Read Johnson,Joe Mantegna,Lara Flynn Boyle,Cynthia Nixon,5.9,32,1000,619,479
Roland Joffé,Gary Oldman,Robert Duvall,Demi Moore,5.1,596,10000,3000,2000
Doug Liman,Naomi Watts,Ty Burrell,Brooke Smith,6.8,218,6000,3000,405
Tony Scott,Ian Ziering,Mo'Nique,Edgar Ramírez,6.0,12000,984,940,897
William Friedkin,Michael Biehn,Chazz Palminteri,Linda Fiorentino,5.1,607,2000,979,602
Mark Neveldine,Gerard Butler,Logan Lerman,Alison Lohman,5.8,83,18000,8000,1000
Richard LaGravenese,Alden Ehrenreich,Zoey Deutch,Pruitt Taylor Vince,6.2,98,1000,852,592
George Armitage,Morgan Freeman,Andrew Wilson,Willie Nelson,4.9,5,11000,387,338
Patrick Lussier,Nicolas Cage,Billy Burke,Katy Mixon,5.5,71,12000,2000,982
Andrzej Bartkowiak,Chris Klein,Robin Shou,Josie Ho,3.7,43,841,342,77
James Wong,Jason Statham,Jet Li,Delroy Lindo,5.9,70,26000,5000,848
Renny Harlin,Lauren Holly,Gilbert Gottfried,David Patrick Kelly,6.3,212,879,560,380
Richard Curtis,Philip Seymour Hoffman,Charlie Rowe,Tom Sturridge,7.4,628,22000,882,830
Steven Spielberg,Harrison Ford,Julian Glover,Alison Doody,8.3,14000,11000,844,440
Neill Blomkamp,Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo,6.9,662,20000,2000,502
Phillip Noyce,Denzel Washington,Angelina Jolie Pitt,Leland Orser,6.7,176,18000,11000,308
David Fincher,Kristen Stewart,Dwight Yoakam,Mel Rodriguez,6.8,21000,17000,324,237
Chuck Bowman,P.J. Soles,Lochlyn Munro,Steve Bacic,4.6,42,598,555,235
David O. Russell,Judy Greer,Jamie Kennedy,Mykelti Williamson,7.1,737,2000,490,393
Daniel Espinosa,Tom Hardy,Fares Fares,Michael Nardone,6.4,79,27000,254,194
Jerry Zucker,Corinna Harney,Douglas Haase,Vince Vieluf,6.4,109,779,629,261
Iain Softley,Kevin Spacey,Jeff Bridges,Alfre Woodard,7.4,34,18000,12000,1000
James Mangold,Hugh Jackman,Natasha Lyonne,Bradley Whitford,6.4,446,20000,1000,821
Harold Ramis,Brendan Fraser,Frances O'Connor,Brian Doyle-Murray,6.0,11000,3000,575,484
James Mangold,Christian Bale,Logan Lerman,Gretchen Mol,7.8,446,23000,8000,600
Olivier Megaton,Liam Neeson,Dougray Scott,Jon Gries,6.0,118,14000,794,482
Deepa Mehta,Nandita Das,Gulshan Grover,Eric Peterson,7.8,375,113,102,59
Warren Beatty,Charlie Korsmo,Warren Beatty,Seymour Cassel,6.1,631,678,631,327
John McTiernan,Mark Margolis,Faye Dunaway,Denis Leary,6.8,323,1000,977,835
Penny Marshall,Rosie Perez,Adam Garcia,Alissa Dean,6.4,545,919,811,807
Ted Kotcheff,Sylvester Stallone,Brian Dennehy,Chris Mulkey,7.7,270,13000,954,535
Stephen Frears,Julia Roberts,Bronagh Gallagher,George Cole,5.8,350,8000,115,77
P.J. Hogan,Julia Roberts,Christopher Masterson,Rupert Everett,6.3,29,8000,1000,692
Joe Roth,Julia Roberts,Rainn Wilson,Larry King,5.7,148,8000,973,135
Christopher Nolan,Al Pacino,Maura Tierney,Crystal Lowe,7.2,22000,14000,509,319
Jonathan Frakes,LeVar Burton,Alfre Woodard,Jonathan Frakes,7.6,906,1000,1000,906
Jimmy Hayward,Michael Fassbender,Billy Blair,Julia Jones,4.7,39,13000,541,364
Edward Zwick,Denzel Washington,Matt Damon,Scott Glenn,6.6,380,18000,13000,826
Tom Shadyac,Maura Tierney,Swoosie Kurtz,Randall 'Tex' Cobb,6.8,293,509,418,255
Brad Furman,Joseph Gilgun,Amy Ryan,Olympia Dukakis,7.3,65,788,423,345
Terence Young,Laurence Olivier,Ben Gazzara,Jacqueline Bisset,2.7,92,1000,623,522
Brian Levant,Jonathan Winters,Elizabeth Perkins,Harvey Korman,4.8,32,924,664,628
Olivier Megaton,Liam Neeson,Luke Grimes,D.B. Sweeney,6.3,118,14000,935,558
David Zucker,Regina Hall,Pamela Anderson,Jenny McCarthy,5.5,119,807,780,750
Donald Petrie,Candice Bergen,Wendy Raquel Robinson,Heather Burns,6.2,80,545,337,213
Eric Brevig,Josh Hutcherson,Brendan Fraser,Anita Briem,5.8,40,14000,3000,311
Alan J. Pakula,Denzel Washington,Julia Roberts,Tony Goldwyn,6.5,79,18000,8000,956
Joel Schumacher,Bradley Whitford,Anthony LaPaglia,Brad Renfro,6.7,541,821,577,551
Phillip Noyce,Harrison Ford,Polly Walker,Patrick Bergin,6.9,176,11000,530,308
Robert Luketic,Adam Scott,Jane Fonda,Elaine Stritch,5.5,126,3000,949,586
Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette,8.1,777,20000,15000,1000
Antoine Fuqua,Denzel Washington,Snoop Dogg,Tom Berenger,7.7,845,18000,881,854
Dean Parisot,Alan Rickman,Enrico Colantoni,Robin Sachs,7.3,23,25000,724,436
Keenen Ivory Wayans,Natasha Lyonne,Veronica Cartwright,Andy Richter,5.2,322,1000,422,179
James Bobin,Bill Cobbs,Eric Jacobson,Steve Whitmire,7.1,33,970,91,84
Stephen Norrington,Sanaa Lathan,Traci Lords,Udo Kier,7.1,45,886,650,595
Thomas Carter,Channing Tatum,Rick Gonzalez,Robert Ri'chard,7.2,49,17000,807,730
Roger Michell,Sydney Pollack,Matt Malloy,Bruce Altman,6.5,50,521,108,67
Luis Llosa,Frank Welker,Eric Stoltz,Kari Wuhrer,4.6,49,2000,902,514
David McNally,Adam Garcia,Tyra Banks,Izabella Miko,5.6,18,811,625,560
Richard Curtis,Colin Firth,Liam Neeson,Kris Marshall,7.7,628,14000,14000,548
John Lasseter,Kevin Spacey,Madeline Kahn,John Ratzenberger,7.2,487,18000,1000,1000
Albert Hughes,Johnny Depp,Jason Flemyng,Ian Richardson,6.8,117,40000,1000,140
Luis Llosa,Sylvester Stallone,Rod Steiger,Emilio Estefan Jr.,5.4,49,13000,279,20
Ron Shelton,Don Johnson,Cheech Marin,Rene Russo,6.3,41,982,843,808
Melville Shavelson,Lucille Ball,Tom Bosley,Tim Matheson,7.2,5,6000,584,559
Jesse Dylan,Josh Hutcherson,Will Ferrell,Robert Duvall,5.6,58,14000,8000,3000
Garth Jennings,Zooey Deschanel,Kelly Macdonald,Thomas Lennon,6.8,37,11000,2000,651
Joel Zwick,Dania Ramirez,Nick Zano,Alice Greczyn,4.3,38,1000,641,631
Russell Mulcahy,Milla Jovovich,Mike Epps,James Tumminia,6.3,85,14000,706,443
Frank Coraci,Bella Thorne,Adam Sandler,Joel McHale,6.5,153,35000,11000,734
Wayne Wang,LL Cool J,Alicia Witt,Timothy Hutton,6.4,61,1000,976,501
Curtis Hanson,Meryl Streep,Glenn Morshower,William Lucking,6.3,161,11000,894,132
David R. Ellis,Richard Burgi,Valerie Cruz,Will Beinbrink,6.5,160,550,216,167
Peter Howitt,Kevin McNally,Natalie Imbruglia,Ben Miller,6.1,29,427,304,252
John A. Davis,Nicolas Cage,Meryl Streep,Julia Roberts,5.9,8,12000,11000,8000
Julie Taymor,Jim Sturgess,T.V. Carpio,Robert Clohessy,7.4,278,5000,117,107
Richard Donner,Bruce Willis,David Zayas,Sasha Roiz,6.6,503,13000,929,795
Mathieu Kassovitz,Vin Diesel,Charlotte Rampling,David Belle,5.6,326,14000,844,510
John Gray,Alexa PenaVega,Bob Gunton,Keenen Ivory Wayans,5.3,29,2000,461,322
Harold Ramis,John de Lancie,Brian Doyle-Murray,Obba Babatundé,6.0,11000,905,484,451
John Schultz,Malese Jow,Carter Jenkins,Tim Meadows,5.4,13,1000,701,553
